Simulation Size,Model,Inference Time (sec),R Squared,RMSE,Explanation/Interpretation Task,Interpretation Time (sec)
50-250-30_000,Lasso,1.021,0.9946313082854399,0.9994504293906008,Interpret LASSO,0.909
50-250-30_000,NN,9.85,0.9942930304637139,1.030456831850201,Explain Neural Network,3527.88
