Id,PlayerName,Salary,Age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TotalMinutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_normalized,Position_encoded,Team_encoded
0,Stephen Curry,48070014,4.697012078927853,5.559490358416789,5.559490358416789,4.73081686507766,2.885846472488202,3.873782547422553,0.4130799090128079,2.033679703428328,3.0590585173752523,0.36522768027638236,2.07729441989646,2.721756410725899,0.4728047703121016,0.4963221069923544,1.9658404488041925,2.055641538058108,0.6824316543074859,0.5523173316303605,2.1404903073307175,2.2786865383928596,2.3160390089201686,0.6737680590667839,0.3451079244367938,1.6012508344814045,1.2330769203735719,4.459351852515735,14.08945103488394,4.144182277646908,0.5239773816028097,0.46259004660719577,0.22526445993852762,1.3075096101012593,3.6009995309225884,2.84630728564999,4.492017742920502,0.8871756757156232,0.6737680590667839,3.1838453744494446,4.545285536716194,5.8,1.1943176378757767,7.8,0.192,7.5,0.1,7.5,4.7,17.68816915191503,2,22
1,John Wall,47345760,4.597156711708115,4.697012078927853,1.5409627556327752,4.017285591334349,1.8455813191367303,2.8727697059001396,0.35110347222932786,0.7304631471189666,1.6012508344814045,0.2699932566604993,1.571419296723087,2.388206047001398,0.38865850586295864,0.3872069419798506,1.3075096101012593,1.6304846272607785,0.5401570314238757,0.3451079244367938,1.3075096101012593,1.4455398754696245,2.0986476546769155,0.6144772743641285,0.3451079244367938,1.3432975971899863,1.0710585971090136,3.0590585173752523,11.35052133593022,3.300269327535053,0.4166313276352077,0.2850723472022325,0.2945013378661605,1.2330769203735719,3.0590585173752523,2.4057488218936234,4.7593468819977325,1.1133843646427297,0.9355532237698291,3.626773091412529,4.322947514138835,-0.4,0.5523173316303605,0.3,0.02,-0.8,-0.4,-1.2,0.1,17.67298784877357,2,29
2,Russell Westbrook,47080179,4.697012078927853,6.047663906109832,4.137710644618417,4.442812919765267,2.2404287472016287,3.300269327535053,0.3718623756090378,0.8369759806258961,1.7946539750195776,0.27636497843288277,1.9887896584596787,2.84630728564999,0.4088048375028763,0.40451507844688844,1.478055616713875,1.8948384661485012,0.5239773816028097,0.8369759806258961,1.9658404488041925,2.220945152863065,2.5234617464931466,0.7304631471189666,0.41804907437868577,1.6872592197086782,1.270787630434676,3.5213992606858002,14.374696123462755,3.539394281403956,0.4272254610541959,0.25876229085511604,0.28112211679630794,1.9887896584596787,3.574854059761254,2.986972062007028,4.909453299466716,1.0710585971090136,0.8871756757156232,3.734426832765899,4.363727332359552,-0.6,1.4122683720328608,1.9,0.044,0.3,-0.1,0.2,1.2,17.667362663628566,2,34
3,LeBron James,44474988,4.882972919330174,5.5270737381589985,5.494161288893169,4.768767831558669,3.0233951254356417,4.017285591334349,0.41804907437868577,1.270787630434676,2.423101456003401,0.28428331827786824,2.7360645163324375,3.466306243722312,0.47348281501223943,0.452291708515051,1.9658404488041925,2.2404287472016287,0.5949125600161963,0.8369759806258961,2.4572538610436574,2.648297385478304,2.4057488218936234,0.6737680590667839,0.48696769054824085,1.6012508344814045,1.0273787073694451,4.431708951962142,14.110233605762662,4.13121697050526,0.4755147627814078,0.2747751529251442,0.24171986749669527,1.7419280321813702,3.9180007130670833,3.1838453744494446,4.672512179141387,0.8369759806258961,0.9355532237698291,3.0824287894998474,4.662627643281162,3.2,1.3432975971899863,5.6,0.138,5.5,0.6,6.1,4.0,17.610437544186183,1,32
4,Kevin Durant,44119845,4.697012078927853,5.2483574728065365,5.2483574728065365,4.7734618624018905,2.9244794533104086,3.72636707599016,0.4598520601048966,1.1943176378757767,2.033679703428328,0.348109328121492,2.648297385478304,3.2796690720047517,0.4983176469801192,0.4963221069923544,2.3525315260846855,2.4572538610436574,0.6847322024144855,0.3451079244367938,2.3160390089201686,2.388206047001398,2.055641538058108,0.5523173316303605,0.9355532237698291,1.6304846272607785,1.2330769203735719,4.442812919765267,13.630393172192896,4.257079072169725,0.5375820917361092,0.24090235529216025,0.3353027595403703,0.8369759806258961,3.8208296209080292,2.9497532001225744,4.169851615220158,0.7304631471189666,1.6591461440755093,3.2796690720047517,4.529455542428637,4.7,1.2330769203735719,6.8,0.194,6.0,1.2,7.1,3.9,17.602420261862978,1,6
5,Bradley Beal,43279250,4.4372688011897266,5.357203202420049,5.357203202420049,4.672512179141387,2.7360645163324375,3.6689330790027816,0.4222926951877562,1.0273787073694451,1.918877069266942,0.31853000906254264,2.4906968549578097,3.2588241665316375,0.45435813688801974,0.4536697049677596,1.7685244437086272,1.9658404488041925,0.6397121387070037,0.6144772743641285,1.571419296723087,1.7946539750195776,2.1404903073307175,0.6737680590667839,0.5523173316303605,1.5098519893959559,1.2330769203735719,4.085130080301088,13.632212530135073,3.8361139204554306,0.48226436540679507,0.22609253509163532,0.23516436308497143,1.478055616713875,2.8727697059001396,2.3525315260846855,4.299254091247412,0.8871756757156232,1.0710585971090136,3.227083988885245,4.448341404236146,2.2,0.8369759806258961,3.4,0.099,2.9,-1.2,1.8,1.6,17.58318388643778,7,67
6,Kawhi Leonard,42492492,4.545285536716194,5.42678077191518,5.357203202420049,4.6774361944494975,2.692763880463827,3.6009995309225884,0.42652196942102355,1.1943176378757767,2.0113991574502705,0.35707013383950625,2.370468537443093,3.116899747429984,0.4536697049677596,0.4680482105751854,1.9887896584596787,2.1404903073307175,0.6568522734187864,0.7847978060712121,2.1404903073307175,2.3525315260846855,1.7946539750195776,0.9355532237698291,0.41804907437868577,1.0710585971090136,1.0273787073694451,4.124701091267671,13.766101730910059,4.13121697050526,0.5022993042860534,0.25714941262255275,0.28349378148787424,1.7419280321813702,3.6855277209017743,2.986972062007028,3.828487537318736,1.1943176378757767,0.9355532237698291,2.617970780749777,4.322947514138835,4.9,1.270787630434676,7.1,0.194,5.1,0.9,6.1,3.5,17.564837982998675,4,29
7,Paul George,42492492,4.597156711708115,5.559490358416789,5.559490358416789,4.7260222955613,2.6332041324455657,3.693768839221828,0.3872069419798506,1.478055616713875,2.539599114203446,0.3231270525802034,2.1404903073307175,2.9244794533104086,0.4328392106226168,0.44329768587032453,1.9658404488041925,2.119710123240548,0.6568522734187864,0.6144772743641285,2.119710123240548,2.2786865383928596,2.07729441989646,0.9822467037532344,0.3451079244367938,1.571419296723087,1.478055616713875,4.124701091267671,14.086243227218915,3.828487537318736,0.4788940801302439,0.3630082104644739,0.2619816761690203,1.4122683720328608,3.618222517841817,2.8727697059001396,4.150632031771039,1.2330769203735719,0.6737680590667839,3.2796690720047517,4.464834004915955,2.3,1.3075096101012593,4.6,0.114,2.4,0.3,2.8,2.3,17.564837982998675,4,29
8,Giannis Antetokounmpo,42492492,4.3809460334448715,5.7737732204907655,5.7737732204907655,4.602270049884833,3.035365619932963,3.88122550486754,0.455046191870795,0.5523173316303605,1.4455398754696245,0.24742715818068178,2.9497532001225744,3.6689330790027816,0.484282222986078,0.4680482105751854,2.5870722438442337,3.161816249000529,0.5167924812430562,1.270787630434676,2.832918063657205,3.10548584739025,2.201216472409456,0.6144772743641285,0.6144772743641285,1.7946539750195776,1.571419296723087,4.550534172635684,14.22016155817777,4.4372688011897266,0.4903165116599509,0.12694470008807604,0.48964745754237093,2.4906968549578097,4.492017742920502,3.7898768589524288,4.657666991376304,0.8369759806258961,1.2330769203735719,3.2588241665316375,4.9182043216971705,4.9,1.7419280321813702,8.6,0.204,5.8,2.7,8.5,5.4,17.564837982998675,1,41
9,Damian Lillard,42492492,4.597156711708115,5.62289923231481,5.62289923231481,4.806018232476593,2.832918063657205,3.910703446193847,0.3915565668534633,1.8704111970686275,3.047253001985074,0.3231270525802034,2.1404903073307175,2.805814311600189,0.4694090617339488,0.46259004660719577,2.721756410725899,2.832918063657205,0.6818558791236233,0.6144772743641285,1.8203341036428238,2.0113991574502705,2.4906968549578097,0.6737680590667839,0.26759528603209753,1.6304846272607785,1.1544441718859593,4.607370273949836,14.34639484947543,4.305204674106275,0.5167924812430562,0.45091219890492107,0.39228002963788744,1.3432975971899863,3.2163744893571025,2.539599114203446,4.745132396064701,0.8369759806258961,0.6144772743641285,3.0939958985919818,4.687248044158857,8.2,0.6144772743641285,9.0,0.205,8.3,-1.2,7.1,4.9,17.564837982998675,2,60
10,Klay Thompson,40600080,4.597156711708115,5.942124359831237,5.942124359831237,4.6477085871174175,2.5870722438442337,3.7101404943597003,0.3718623756090378,1.918877069266942,2.962250248368772,0.35409039486840044,1.7148461932541845,2.539599114203446,0.39661200651300793,0.4571080996791096,1.0710585971090136,1.1544441718859593,0.6615408328321439,0.48696769054824085,1.7148461932541845,1.8455813191367303,1.3432975971899863,0.5523173316303605,0.3451079244367938,1.1133843646427297,1.1544441718859593,3.9964476032799485,14.595081408016062,3.409461634363643,0.4707684438971689,0.4761913513468419,0.10059676343310842,1.1544441718859593,3.0939958985919818,2.423101456003401,3.011340243262834,0.7304631471189666,0.7847978060712121,2.692763880463827,4.287297738734636,1.2,1.1544441718859593,3.1,0.066,1.5,-1.7,-0.3,1.0,17.51928061964386,4,22
11,Kyrie Irving,38917057,4.492017742920502,5.684506656824126,5.684506656824126,4.856143963522793,2.8727697059001396,3.8663096878679837,0.41379100064789925,1.571419296723087,2.648297385478304,0.32922991608591323,2.4057488218936234,3.10548584739025,0.4694090617339488,0.4680482105751854,1.8455813191367303,1.9658404488041925,0.6766623636694779,0.7304631471189666,1.8455813191367303,2.07729441989646,2.160996313445664,0.7847978060712121,0.6144772743641285,1.2330769203735719,1.478055616713875,4.328825891010464,14.541546611469514,4.031050697312363,0.49565622635484696,0.35409039486840044,0.20774325123205933,1.5409627556327752,3.161816249000529,2.5555777652256793,4.226379141854201,0.9355532237698291,1.0710585971090136,2.721756410725899,4.431708951962142,5.4,1.1943176378757767,7.4,0.159,4.8,-0.7,4.1,3.5,17.47694322146913,3,4
12,Rudy Gobert,38172414,4.492017742920502,5.968980585391403,5.968980585391403,4.529455542428637,2.07729441989646,2.57140105828423,0.525929858219736,0.0,0.0,0.0,2.07729441989646,2.57140105828423,0.528528497320116,0.525929858219736,1.571419296723087,2.033679703428328,0.5161372852777517,1.6304846272607785,2.648297385478304,3.0824287894998474,0.8369759806258961,0.6144772743641285,0.9355532237698291,1.0710585971090136,1.5409627556327752,3.2796690720047517,14.407198801665272,3.7742036708830295,0.5362926636549706,0.0049894076441552035,0.5022993042860534,3.15069590750373,4.481189288315092,3.9469081854679384,2.1812358949226547,0.8369759806258961,1.7946539750195776,3.428611954181273,3.557211284819119,4.3,1.6872592197086782,7.8,0.174,0.0,0.7,0.7,1.4,17.457623692303418,0,43
