model,estimation_time,rmse,false_positive_rate,false_negative_rate
LassoCV,2.8462109565734863,50113.19155353739,0.0770296481019673,0.10388888888888889
CNN,461.3041069507599,79069.4744267767,0.12468827930174564,0.16527777777777777
